accessionnr	aantal.aminozuren	uit	categorie	land	jaar	kenmerken
AAA43248	562	Human	H2N2	Russia	1959	Influenza A virus (A/Krasnodar/101/1959(H2N2))
AAA43275	550	Human	H3N2	USA	1986	Influenza A virus (A/Memphis/6/1986(H3N2))
AAA43283	566	Human	H1N1	USA	1991	Influenza A Virus (A/Maryland/12/1991(H1N1))
AAA43284	562	Avian	H2N8	USA	1977	Influenza A virus (A/gull/MD/19/77 (H2N8))
AAA43345	562	Avian	H2N2	USA	1961	Influenza A virus (A/mallard/MT/Y61 (H2N2))
AAA43450	562	Avian	H2N2	USA	1991	Influenza A virus (A/guinea/NJ/3070/91 (H2N2))
AAA43576	562	Avian	H2N2	USA	1978	Influenza A virus (A/mallard/New York/6750/1978(H2N2))
AAA43578	562	Avian	H2N3	Canada	1976	Influenza A virus (A/mallard/Ontario/56/76 (H2N3))
AAA43658	562	Avian	H2N2	Germany	1983	Influenza A virus (A/mallard/Postdam/178-4/83(H2N2))
AAA43659	562	Avian	H2N2	Germany	1984	Influenza A virus (A/chicken/Potsdam/4705/1984(H2N2))
AAA43660	562	Avian	H2N3	Germany	1985	Influenza A virus (A/Peking duck/Potsdam/1689-4/85(H2N3))
AAA43662	562	Avian	H2N2	Russia	1976	Influenza A virus (A/Pintail/Praimoric/625/76 (H2N2))
AAA43680	354	Human	H1N1	USA	1987	Influenza A virus (A/SL/2/1987(H1N1))
AAA62327	329	Human	H3N2	China	1989	Influenza A virus (A/Beijing/4/1989(H3N2))
AAA62328	329	Human	H3N2	China	1989	Influenza A virus (A/Beijing/4/1989(H3N2))
AAA62331	329	Human	H3N2	China	1989	Influenza A virus (A/Guangdong/39/1989(H3N2))
AAA62332	329	Human	H3N2	China	1989	Influenza A virus (A/Guangdong/39/1989(H3N2))
AAA62335	329	Human	H3N2	China	1989	Influenza A virus (A/Guangdong/39/1989(H3N2))
AAA62338	329	Human	H3N2	USA	1985	Influenza A virus (A/Mississippi/1/1985(H3N2))
AAA64228	566	Seal	H3N3	USA	1992	Influenza A virus (A/seal/MA/3984/1992(H3N3))
AAA64229	566	Seal	H3N3	USA	1992	Influenza A virus (A/seal/Massachusetts/3911/1992(H3N3))
AAA64362	562	Human	H2N2	Japan	1957	Influenza A virus (A/Japan/305+/1957(H2N2))
AAA64363	562	Human	H2N2	USA	1957	Influenza A virus (A/RI/5-/1957(H2N2))
AAA64364	562	Human	H2N2	Japan	1957	Influenza A virus (A/Japan/305-/1957(H2N2))
AAA64365	562	Human	H2N2	USA	1957	Influenza A virus (A/RI/5+/1957(H2N2))
AAA65544	344	Human	H1N1	Russia	1991	Influenza A virus (A/Leningrad/109/1991(H1N1))
AAA65545	344	Human	H1N1	Russia	1991	Influenza A virus (A/Leningrad/133/1991(H1N1))
AAA65547	344	Human	H1N1	Finland	1986	Influenza A virus (A/Finland/42/1986(H1N1))
AAA65548	344	Human	H1N1	Finland	1978	Influenza A virus (A/Finland/44/1978(H1N1))
AAA65549	344	Human	H1N1	Finland	1987	Influenza A virus (A/Finland/45/1987(H1N1))
AAA65550	344	Human	H1N1	Finland	1987	Influenza A virus (A/Finland/53/1987(H1N1))
AAA65551	344	Human	H1N1	Finland	1988	Influenza A virus (A/Finland/70/1988(H1N1))
AAA65552	344	Human	H1N1	Finland	1978	Influenza A virus (A/Finland/92/1978(H1N1))
AAA65553	344	Human	H1N1	Finland	1982	Influenza A virus (A/Finland/1/1982(H1N1))
AAA65554	344	Human	H1N1	Finland	1984	Influenza A virus (A/Finland/1/1984(H1N1))
AAA65555	344	Human	H1N1	Finland	1984	Influenza A virus (A/Finland/4/1984(H1N1))
AAA65556	344	Human	H1N1	Finland	1984	Influenza A virus (A/Finland/5/1984(H1N1))
AAA65557	344	Human	H1N1	Finland	1984	Influenza A virus (A/Finland/9/1984(H1N1))
AAA67181	327	Swine	H1N1	USA	1937	Influenza A virus (A/swine/29/1937(H1N1))
AAA67182	327	Swine	H1N1	Ireland	1938	Influenza A virus (A/swine/Northern Ireland/1938(H1N1))
AAA67338	566	Human	H1N1	USA	1947	Influenza A virus (A/Fort Monmouth/1/1947(H1N1))
AAA72339	566	Swine	H1N1	USA	1992	Influenza A virus (A/swine/Nebraska/1/1992(H1N1))
AAA74285	344	Human	H1N1	Finland	1988	Influenza A virus (A/Finland/75/1988(H1N1))
AAA74286	344	Human	H1N1	Finland	1989	Influenza A virus (A/Finland/91/1989(H1N1))
AAA74287	344	Human	H1N1	Finland	1978	Influenza A virus (A/Finland/20/1978(H1N1))
AAA74288	344	Human	H1N1	Sweden	1991	Influenza A virus (A/Umea/2/1991(H1N1))
AAA74293	344	Human	H1N1	Finland	1991	Influenza A virus (A/Finland/154/1991(H1N1))
AAA74294	344	Human	H1N1	Finland	1991	Influenza A virus (A/Finland/160/1991(H1N1))
AAA74295	344	Human	H1N1	Finland	1991	Influenza A virus (A/Finland/164/1991(H1N1))
AAA74296	344	Human	H1N1	Finland	1991	Influenza A virus (A/Finland/188/1991(H1N1))
AAA74297	344	Human	H1N1	Finland	1991	Influenza A virus (A/Finland/196/1991(H1N1))
AAA74298	344	Human	H1N1	Finland	1988	Influenza A virus (A/Finland/72/1988(H1N1))
AAA74299	344	Human	H1N1	Finland	1988	Influenza A virus (A/Finland/73/1988(H1N1))
AAA74300	344	Human	H1N1	Finland	1988	Influenza A virus (A/Finland/74/1988(H1N1))
AAA74909	332	Avian	H5N2	USA	1993	Influenza A virus (A/chicken/Pennsylvania/13609/1993(H5N2))
AAA74910	332	Avian	H5N2	USA	1993	Influenza A virus (A/chicken/Florida/25717/1993(H5N2))
AAA79727	566	Human	H1	Japan	1967	Influenza A virus (A/Tokyo/3/1967(H1))
AAA79774	561	Mink	H10N4	Sweden	1984	Influenza A virus (A/mink/Sweden/1984(H10N4))
AAA79775	561	Avian	H10N7	Germany	1949	Influenza A virus (A/chicken/Germany/N/1949(H10N7))
AAA85781	566	Swine	H3N2	Canada	1990	Influenza A virus (A/swine/Ange-Gardien/150/1990(H3N2))
AAA87553	566	Human	H3N2	China	1992	Influenza A virus (A/Beijing/32/1992(H3N2))
AAA91616	566	Swine	H1N1	Canada	1990	Influenza A virus (A/swine/St-Hyacinthe/148/1990(H1N1))
AAA92244	562	Avian	H7N7	Germany	1979	Influenza A virus (A/goose/Leipzig/137/8/1979(H7N7))
AAA92245	564	Avian	H7N7	Germany	1979	Influenza A virus (A/goose/Leipzig/187-7/1979(H7N7))
AAA92246	563	Avian	H7N7	Germany	1979	Influenza A virus (A/goose/Leipzig/192/7/1979(H7N7))
AAA92927	155	Human	H3N2	Italy	1993	Influenza A virus (A/Florence/1/93(H3N2))
AAA99877	344	Human	H1N2	China	1989	Influenza A virus (A/Xianfeng/3/1989(H1N2))
AAB02560	565	Equine	H3N8	USA	1981	Influenza A virus (A/equine/Kentucky/1/1981(H3N8))
AAB03291	566	Human	H1N1	USA	1994	Influenza A virus (A/Wisconsin/4754/1994(H1N1))
AAB03292	566	Human	H1N1	USA	1994	Influenza A virus (A/Wisconsin/4755/1994(H1N1))
AAB09413	344	Human	H3N2	Japan	1994	Influenza A virus (A/Sendai/c182/1994(H3N2))
AAB09414	344	Human	H3N2	Japan	1994	Influenza A virus (A/Sendai/c384/1994(H3N2))
AAB09415	344	Human	H3N2	China	1994	Influenza A virus (A/Hebei/41/1994(H3N2))
AAB09416	344	Human	H3N2	China	1994	Influenza A virus (A/Guandong/28/1994(H3N2))
AAB09417	344	Human	H3N2	Japan	1994	Influenza A virus (A/Akita/1/94(H3N2))
AAB09418	344	Human	H3N2	Japan	1995	Influenza A virus (A/Akita/1/1995(H3N2))
AAB09419	344	Human	H3N2	Japan	1995	Influenza A virus (A/Sendai/c373/1995(H3N2))
AAB09420	344	Human	H3N2	Japan	1994	Influenza A virus (A/Aichi/69/1994(H3N2))
AAB09421	344	Human	H3N2	China	1995	Influenza A virus (A/Hebei/19/1995(H3N2))
AAB19009	328	Human	H3N2	Finland	1989	Influenza A virus (A/Finland/110/1989(H3N2))
AAB19010	328	Human	H3N2	Finland	1990	Influenza A virus (A/Finland/133/1990(H3N2))
AAB19011	328	Human	H3N2	Finland	1990	Influenza A virus (A/Finland/144/1990(H3N2))
AAB19012	328	Human	H3N2	Finland	1991	Influenza A virus (A/Finland/189/1991(H3N2))
AAB19013	328	Human	H3N2	Finland	1992	Influenza A virus (A/Finland/211/1992(H3N2))
AAB19014	328	Human	H3N2	Finland	1992	Influenza A virus (A/Finland/239/1992(H3N2))
AAB19015	328	Human	H3N2	Finland	1992	Influenza A virus (A/Finland/247/1992(H3N2))
AAB19016	328	Human	H3N2	Finland	1993	Influenza A virus (A/Finland/263/1993(H3N2))
AAB19017	328	Human	H3N2	Finland	1993	Influenza A virus (A/Finland/274/1993(H3N2))
AAB19018	328	Human	H3N2	Finland	1993	Influenza A virus (A/Finland/276/1993(H3N2))
AAB19019	328	Human	H3N2	Finland	1993	Influenza A virus (A/Finland/278/1993(H3N2))
AAB19020	328	Human	H3N2	Finland	1993	Influenza A virus (A/Finland/292/1993(H3N2))
AAB19021	328	Human	H3N2	Finland	1993	Influenza A virus (A/Finland/295/1993(H3N2))
AAB19022	328	Human	H3N2	Finland	1993	Influenza A virus (A/Finland/296/1993(H3N2))
AAB19023	328	Human	H3N2	Finland	1995	Influenza A virus (A/Finland/339/1995(H3N2))
AAB19024	328	Human	H3N2	Finland	1995	Influenza A virus (A/Finland/363/1995(H3N2))
AAB19025	328	Human	H3N2	Finland	1995	Influenza A virus (A/Finland/371/1995(H3N2))
AAB19026	328	Human	H3N2	China	1989	Influenza A virus (A/Beijing/353/1989(H3N2))
AAB19027	328	Human	H3N2	China	1993	Influenza A virus (A/Shangdong/9/1993(H3N2))
AAB19028	328	Human	H3N2	China	1992	Influenza A virus (A/Beijing/32/1992(H3N2))
AAB19072	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-7/1994(H5N2))
AAB19073	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-1/1994(H5N2))
AAB19074	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-2/1994(H5N2))
AAB19075	331	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31382-1/1994(H5N2))
AAB19076	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-5/1994(H5N2))
AAB19077	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-8/1994(H5N2))
AAB19078	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Queretaro/26654-1373/1994(H5N2))
AAB19079	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Hidalgo/26654-1368/1994(H5N2))
AAB19080	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/26654-1374/1994(H5N2))
AAB19081	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-4/1994(H5N2))
AAB19082	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-6/1994(H5N2))
AAB19083	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/31381-3/1994(H5N2))
AAB19084	334	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Puebla/8624-604/1994(H5N2))
AAB19085	334	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Puebla/8623-607/1994(H5N2))
AAB19086	334	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Puebla/14585-622/1994(H5N2))
AAB19087	334	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Puebla/14586-654/1994(H5N2))
AAB19088	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Jalisco/14585-660/1994(H5N2))
AAB19089	334	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Queretaro/14588-19/1994(H5N2))
AAB27733	565	Equine	H3N8	Sweden	1991	Equine influenza virus H3N8
AAB29091	576	Swine	H1N1	USA	1992	H1N1 swine influenza virus
AAB33340	344	Equine	H3N8	Sweden	1979	Equine influenza virus H3N8
AAB36976	565	Equine	H3N8	USA	1994	Influenza A virus (A/equine/Kentucky/1/1994(H3N8))
AAB36977	565	Equine	H3N8	USA	1990	Influenza A virus (A/equine/Kentucky/1/1990(H3N8))
AAB36978	565	Equine	H3N8	USA	1993	Influenza A virus (A/equine/Florida/1/93(H3N8))
AAB36979	565	Equine	H3N8	USA	1992	Influenza A virus (A/equine/Kentucky/1/1992(H3N8))
AAB36980	565	Equine	H3N8	USA	1991	Influenza A virus (A/equine/Kentucky/1/1991(H3N8))
AAB39351	351	Swine	H1	Canada	1990	Influenza A virus (strain A/Sw/Quebec/1747/90)
AAB39352	351	Swine	H1	Canada	1990	Influenza A virus (strain A/Sw/Quebec/3291/90)
AAB39353	351	Swine	H1	Canada	1986	Influenza A virus (strain A/SW/Quebec/1192/1986)
AAB39639	564	Avian	H5	USA	1982	Influenza A virus (A/Mallard/WI/944/82)
AAB39851	566	Swine	H1N1	USA	1976	Influenza A virus (A/swine/New Jersey/11/1976(H1N1))
AAB49654	548	Avian	H5N2	USA	1993	Influenza A virus (A/emu/Texas/39442/93(H5N2))
AAB49655	550	Avian	H5N2	USA	1993	Influenza A virus (A/emu/Texas/39442/93(H5N2))
AAB50963	531	Swine	H1N1	China	1991	Influenza A virus (A/swine/Beijing/47/1991(H1N1))
AAB50964	327	Avian	H1N1	USA	1981	Influenza A virus (A/turkey/Minnesota/1661/1981(H1N1))
AAB52904	327	Swine	H1N1	USA	1988	Influenza A virus (A/swine/Iowa/17672/1988(H1N1))
AAB52905	327	Swine	H1N1	USA	1930	Influenza A virus (A/swine/Iowa/15/1930(H1N1))
AAB52906	327	Swine	H1N1	Japan	1981	Influenza A virus (A/swine/Hokkaido/2/1981(H1N1))
AAB52907	327	Avian	H1N1	USA	1985	Influenza A virus (A/mallard/Tennessee/11464/1985(H1N1))
AAB52908	327	Avian	H1N1	Germany	1977	Influenza A virus (A/duck/Bavaria/2/1977(H1N1))
AAB52910	327	Avian	H1N1	Canada	1976	Influenza A virus (A/mallard/Alberta/35/1976(H1N1))
AAB57740	344	Avian	H1N1	Germany	1990	Influenza A virus (A/turkey/Germany/2482/90)
AAB58297	566	Human	H3N2	China	1989	Influenza A virus (A/Beijing/353/1989(H3N2))
AAB63681	329	Human	H3N2	USA	1995	Influenza A virus (A/Alaska/16/95(H3N2))
AAB63683	329	Human	H3N2	USA	1995	Influenza A virus (A/Minnesota/6/95(H3N2))
AAB63684	329	Human	H3N2	USA	1995	Influenza A virus (A/Nevada/1/95(H3N2))
AAB63685	329	Human	H3N2	USA	1995	Influenza A virus (A/Alaska/10/95(H3N2))
AAB63687	329	Human	H3N2	USA	1995	Influenza A virus (A/Nebraska/11/95(H3N2))
AAB63689	329	Human	H3N2	Germany	1995	Influenza A virus (A/Germany/578652/95(H3N2))
AAB63690	329	Human	H3N2	USA	1995	Influenza A virus (A/West_Virginia/1/95(H3N2))
AAB63691	329	Human	H3N2	Germany	1995	Influenza A virus (A/Germany/767/95(H3N2))
AAB63694	329	Human	H3N2	USA	1994	Influenza A virus (A/New_Jersey/11/94(H3N2))
AAB63697	329	Human	H3N2	Canada	1995	Influenza A virus (A/Canada/147/95(H3N2))
AAB63698	329	Human	H3N2	USA	1994	Influenza A virus (A/Washington/186/94(H3N2))
AAB63699	329	Human	H3N2	China	1994	Influenza A virus (A/Beijing/281/1994(H3N2))
AAB63700	329	Human	H3N2	China	1994	Influenza A virus (A/Shangdong/5/94(H3N2))
AAB63702	329	Human	H3N2	China	1995	Influenza A virus (A/CNIC/22/95(H3N2))
AAB63703	329	Human	H3N2	China	1995	Influenza A virus (A/Guangxi/42/95(H3N2))
AAB63704	329	Human	H3N2	USA	1994	Influenza A virus (A/Virginia/25/94(H3N2))
AAB63707	329	Human	H3N2	USA	1996	Influenza A virus (A/New_York/28/96(H3N2))
AAB63708	329	Human	H3N2	USA	1996	Influenza A virus (A/Memphis/1/1996(H3N2))
AAB63712	329	Human	H3N2	USA	1995	Influenza A virus (A/Louisiana/1/95(H3N2))
AAB63713	329	Human	H3N2	USA	1994	Influenza A virus (A/New_Jersey/8/94(H3N2))
AAB63714	329	Human	H3N2	Japan	1995	Influenza A virus (A/Japan/86/95(H3N2))
AAB63715	329	Human	H3N2	Spain	1995	Influenza A virus (A/Spain/378/95(H3N2))
AAB63716	329	Human	H3N2	Canada	1995	Influenza A virus (A/Canada/124/95(H3N2))
AAB63717	329	Human	H3N2	USA	1995	Influenza A virus (A/New_Jersey/10/95(H3N2))
AAB63718	329	Human	H3N2	USA	1995	Influenza A virus (A/Ohio/3/95(H3N2))
AAB63719	325	Human	H3N2	USA	1995	Influenza A virus (A/Illinois/5/1995(H3N2))
AAB63720	329	Human	H3N2	Spain	1995	Influenza A virus (A/Spain/351/95(H3N2))
AAB63721	329	Human	H3N2	USA	1994	Influenza A virus (A/Texas/5/94(H3N2))
AAB63722	329	Human	H3N2	USA	1995	Influenza A virus (A/Massachussetts/1/95(H3N2))
AAB63723	329	Human	H3N2	USA	1995	Influenza A virus (A/Pennsylvania/15/95(H3N2))
AAB63724	326	Human	H3N2	USA	1994	Influenza A virus (A/New_York/28/94(H3N2))
AAB63725	326	Human	H3N2	USA	1994	Influenza A virus (A/Pennsylvania/7/94(H3N2))
AAB63726	329	Human	H3N2	USA	1995	Influenza A virus (A/California/5/95(H3N2))
AAB63728	329	Human	H3N2	USA	1994	Influenza A virus (A/New_York/17/94(H3N2))
AAB63732	329	Human	H3N2	USA	1994	Influenza A virus (A/New_York/16/94(H3N2))
AAB63733	329	Human	H3N2	USA	1995	Influenza A virus (A/New_York/42/95(H3N2))
AAB63734	329	Human	H3N2	USA	1993	Influenza A virus (A/New_York/63/93(H3N2))
AAB63735	329	Human	H3N2	USA	1993	Influenza A virus (A/New_York/64/93(H3N2))
AAB63736	329	Human	H3N2	France	1994	Influenza A virus (A/France/1109/94(H3N2))
AAB63737	329	Human	H3N2	Russia	1994	Influenza A virus (A/Russia/46967/94(H3N2))
AAB63738	329	Human	H3N2	China	1993	Influenza A virus (A/Nangchang/12/93(H3N2))
AAB63739	329	Human	H3N2	China	1993	Influenza A virus (A/Nanchang/3332/93(H3N2))
AAB63740	329	Human	H3N2	China	1993	Influenza A virus (A/Nanchang/58/1993(H3N2))
AAB63741	329	Human	H3N2	Russia	1993	Influenza A virus (A/Russia/58/93(H3N2))
AAB63742	329	Human	H3N2	China	1993	Influenza A virus (A/Wuzhou/4/93(H3N2))
AAB63743	329	Human	H3N2	China	1993	Influenza A virus (A/Sichuan/4/93(H3N2))
AAB63744	329	Human	H3N2	China	1993	Influenza A virus (A/Ningxia/10/93(H3N2))
AAB63745	329	Human	H3N2	China	1993	Influenza A virus (A/Guangdong/4/93(H3N2))
AAB63746	329	Human	H3N2	China	1992	Influenza A virus (A/Harbin/15/92(H3N2))
AAB63749	329	Human	H3N2	China	1992	Influenza A virus (A/Beijing/32/1992(H3N2))
AAB63750	329	Human	H3N2	China	1992	Influenza A virus (A/Beijing/46/1992(H3N2))
AAB63751	329	Human	H3N2	USA	1992	Influenza A virus (A/Alaska/9/92(H3N2))
AAB63752	329	Human	H3N2	USA	1992	Influenza A virus (A/Hawaii/3/92(H3N2))
AAB63753	329	Human	H3N2	China	1992	Influenza A virus (A/Qingdao/53/92(H3N2))
AAB63754	329	Human	H3N2	USA	1992	Influenza A virus (A/California/271/92(H3N2))
AAB63755	329	Human	H3N2	France	1993	Influenza A virus (A/Paris/688/93(H3N2))
AAB63756	329	Human	H3N2	Japan	1992	Influenza A virus (A/Sapporro/92(H3N2))
AAB63757	329	Human	H3N2	China	1993	Influenza A virus (A/Shangdong/9/1993(H3N2))
AAB63758	329	Human	H3N2	USA	1993	Influenza A virus (A/New_York/13/93(H3N2))
AAB63759	329	Human	H3N2	China	1993	Influenza A virus (A/Nanchang/3396/93(H3N2))
AAB63760	329	Human	H3N2	Japan	1993	Influenza A virus (A/Kitakyushu/93(H3N2))
AAB63762	329	Human	H3N2	Japan	1994	Influenza A virus (A/Akita/1/94(H3N2))
AAB63763	329	Human	H3N2	Romania	1994	Influenza A virus (A/Romania/160/94(H3N2))
AAB63765	329	Human	H3N2	China	1993	Influenza A virus (A/Guangdong/25/1993(H3N2))
AAB63766	329	Human	H3N2	USA	1993	Influenza A virus (A/Louisiana/4/93(H3N2))
AAB63767	329	Human	H3N2	USA	1993	Influenza A virus (A/Louisiana/6/93(H3N2))
AAB66724	329	Human	H3N2	France	1992	Influenza A virus (A/Paris/1/92(H3N2))
AAB66726	329	Human	H3N2	India	1991	Influenza A virus (A/Kasauli/206/91(H3N2))
AAB66727	329	Human	H3N2	China	1990	Influenza A virus (A/Shanghai/24/1990(H3N2))
AAB66729	329	Human	H3N2	China	1989	Influenza A virus (A/Beijing/57/1989(H3N2))
AAB66730	329	Human	H3N2	China	1989	Influenza A virus (A/Sichuan/89(H3N2))
AAB66732	329	Human	H3N2	China	1989	Influenza A virus (A/Guizhou/54/89(H3N2))
AAB66733	329	Human	H3N2	China	1989	Influenza A virus (A/Guangdong/39/1989(H3N2))
AAB66734	329	Human	H3N2	China	1989	Influenza A virus (A/Guangdong/89(H3N2))
AAB66735	329	Human	H3N2	China	1989	Influenza A virus (A/Shanghai/16/1989(H3N2))
AAB66736	329	Human	H3N2	China	1989	Influenza A virus (A/Shanghai/1/1989(H3N2))
AAB66737	329	Human	H3N2	China	1989	Influenza A virus (A/Beijing/4/1989(H3N2))
AAB66741	329	Human	H3N2	Mexico	1994	Influenza A virus (A/Mexico/3255/1994(H3N2))
AAB66742	329	Human	H3N2	USA	1991	Influenza A virus (A/South Dakota/01/1991(H3N2))
AAB66743	329	Human	H3N2	USA	1991	Influenza A virus (A/Washington/15/91(H3N2))
AAB66746	329	Human	H3N2	USA	1991	Influenza A virus (A/Pennsylvania/09/91(H3N2))
AAB66748	329	Human	H3N2	USA	1991	Influenza A virus (A/Indiana/3/91(H3N2))
AAB66749	329	Human	H3N2	Japan	1991	Influenza A virus (A/Shiga/2/91(H3N2))
AAB66751	329	Human	H3N2	China	1989	Influenza A virus (A/Beijing/353/1989(H3N2))
AAB66752	329	Human	H3N2	USA	1991	Influenza A virus (A/Hawaii/1/91(H3N2))
AAB66753	329	Human	H3N2	China	1990	Influenza A virus (A/Shanghai/6/1990(H3N2))
AAB66754	329	Human	H3N2	Brazil	1991	Influenza A virus (A/Brazil/91(H3N2))
AAB66756	329	Human	H3N2	India	1993	Influenza A virus (A/India/236/93(H3N2))
AAB66757	329	Human	H3N2	India	1993	Influenza A virus (A/India/237/93(H3N2))
AAB66758	329	Human	H3N2	India	1992	Influenza A virus (A/Kasauli/149/92(H3N2))
AAB66759	329	Human	H3N2	Sweden	1992	Influenza A virus (A/Umea/1/92(H3N2))
AAB66760	329	Human	H3N2	Sweden	1992	Influenza A virus (A/Umea/2/92(H3N2))
AAB66765	329	Human	H3N2	China	1992	Influenza A virus (A/Beijing/47/1992(H3N2))
AAB66768	329	Human	H3N2	Spain	1993	Influenza A virus (A/Spain/118/93(H3N2))
AAB66769	329	Human	H3N2	France	1991	Influenza A virus (A/Paris/80/91(H3N2))
AAB66770	329	Human	H3N2	Taiwan	1991	Influenza A virus (A/Taiwan/1143/91(H3N2))
AAB66771	329	Human	H3N2	Russia	1993	Influenza A virus (A/Russia/31/93(H3N2))
AAB66772	329	Human	H3N2	China	1996	Influenza A virus (A/Shenzhen/43/1996(H3N2))
AAB66773	329	Human	H3N2	China	1996	Influenza A virus (A/Wuzhou/19/96(H3N2))
AAB66774	329	Human	H3N2	China	1996	Influenza A virus (A/Guangzhou/6/96(H3N2))
AAB66775	329	Human	H3N2	Chile	1996	Influenza A virus (A/Chile/2115/96(H3N2))
AAB66776	329	Human	H3N2	China	1996	Influenza A virus (A/Guangzhou/11/96(H3N2))
AAB66777	329	Human	H3N2	China	1996	Influenza A virus (A/Guangzhou/8/96(H3N2))
AAB66779	329	Human	H3N2	Japan	1996	Influenza A virus (A/Fukushima/114/96(H3N2))
AAB66780	329	Human	H3N2	Japan	1996	Influenza A virus (A/Fukushima/114/96(H3N2))
AAB66785	329	Human	H3N2	USA	1996	Influenza A virus (A/Hawaii/2/96(H3N2))
AAB66788	329	Human	H3N2	China	1996	Influenza A virus (A/CNIC/35/96(H3N2))
AAB66789	329	Human	H3N2	China	1995	Influenza A virus (A/Wuhan/359/1995(H3N2))
AAB66790	329	Human	H3N2	USA	1996	Influenza A virus (A/Alaska/2/96(H3N2))
AAB66791	329	Human	H3N2	Japan	1996	Influenza A virus (A/Japan/99/96(H3N2))
AAB66792	329	Human	H3N2	China	1995	Influenza A virus (A/Nanchang/933/95(H3N2))
AAB66793	329	Human	H3N2	China	1996	Influenza A virus (A/Fujian/47/96(H3N2))
AAB66794	329	Human	H3N2	USA	1996	Influenza A virus (A/New_York/9/96(H3N2))
AAB66795	329	Human	H3N2	China	1995	Influenza A virus (A/Shanghai/9/1995(H3N2))
AAB66796	329	Human	H3N2	USA	1996	Influenza A virus (A/Washington/5/96(H3N2))
AAB66797	329	Human	H3N2	Taiwan	1996	Influenza A virus (A/Taiwan/523/96(H3N2))
AAB66798	329	Human	H3N2	USA	1996	Influenza A virus (A/Wisconsin/3/96(H3N2))
AAB66799	329	Human	H3N2	Brazil	1996	Influenza A virus (A/Brazil/18/96(H3N2))
AAB66800	329	Human	H3N2	Brazil	1996	Influenza A virus (A/Brazil/8/96(H3N2))
AAB66801	329	Human	H3N2	Brazil	1995	Influenza A virus (A/Brazil/2/95(H3N2))
AAB66802	329	Human	H3N2	Canada	1996	Influenza A virus (A/Canada/61/96(H3N2))
AAB66804	329	Human	H3N2	Germany	1996	Influenza A virus (A/Germany/491/96(H3N2))
AAB66805	329	Human	H3N2	Canada	1996	Influenza A virus (A/Canada/17/96(H3N2))
AAB66807	329	Human	H3N2	USA	1995	Influenza A virus (A/Idaho/3/1995(H3N2))
AAB66808	329	Human	H3N2	USA	1995	Influenza A virus (A/Idaho/4/1995(H3N2))
AAB66809	329	Human	H3N2	Canada	1996	Influenza A virus (A/Canada/27/96(H3N2))
AAB66810	329	Human	H3N2	USA	1996	Influenza A virus (A/Missouri/6/96(H3N2))
AAB69773	329	Human	H3N2	Romania	1994	Influenza A virus (A/Romania/182/94(H3N2))
AAB69774	329	Human	H3N2	USA	1994	Influenza A virus (A/Vermont/3/94(H3N2))
AAB69775	329	Human	H3N2	USA	1993	Influenza A virus (A/California/5/93(H3N2))
AAB69777	329	Human	H3N2	France	1994	Influenza A virus (A/France/1203/94(H3N2))
